material_id,formula,work_function_eV,E_ads_DFT_eV,band_gap_DFT,band_gap_CGCNN,formation_energy_DFT,formation_energy_CGCNN,energy_hull_DFT,energy_hull_CGCNN,bulk_modulus_DFT,bulk_modulus_CGCNN,shear_modulus_DFT,shear_modulus_CGCNN,young_modulus_DFT,young_modulus_CGCNN
3994,Ba2LiN,3.98659,-1.86092,0.0,-0.055,-0.36769415153250007,-0.27,,0.34,16.0,13.587,6.0,2.662,16.0,8.126
524,PdCl2,4.6717,-1.84397,0.658,0.614,-0.44889,-0.389,0.4014,0.281,25.7,23.531,13.02,10.828,33.41684420772304,28.071
4234,Ta2MoO8,4.51903,-1.81838,,-0.088,-2.607533224090908,-1.76,,2.972,,152.171,,71.532,,186.299
3834,HfS2,3.85358,-1.79898,1.078,1.045,-1.70531,-1.73,2.1772,2.207,46.27,44.084,34.26,30.23,82.43422776911076,74.18
7557,NbC,3.79259,-1.78043,0.0,0.091,-0.52754,-0.483,3.5721,4.048,299.63,312.917,195.56,206.371,481.85004815203985,503.673
3595,Ca(HO)2,3.84274,-1.77641,4.465,4.723,-1.99357,-2.038,1.6306,1.634,43.28,44.596,26.39,23.976,65.79679190936439,60.672
7539,NaMgSb,3.52389,-1.76805,1.172,1.181,-0.57515,-0.533,0.0,-0.07,29.1,23.816,17.86,14.468,44.480163560289085,36.007
3482,Cd3P2,3.92279,-1.74317,0.0,-0.142,0.138467965142857,0.301,,0.852,,48.032,,23.122,,57.933
1028,NiSb2,3.98109,-1.74151,0.0,0.014,-0.1832,-0.122,1.1985,1.178,86.13,85.554,43.88,46.938,112.5300545869587,117.697
3771,As2O3,4.01126,-1.62156,3.406,3.713,-1.26178,-1.385,2.2749,2.408,21.29,20.225,14.09,13.949,34.63038609543355,34.567
1745,PPb,3.74705,-1.61914,0.0,-0.013,0.1340888245535714,0.238,,0.639,,33.278,,22.72,,55.194
834,P2S3,3.87372,-1.60918,2.4895,-0.015,-0.5450824342946425,0.22,,1.5,,31.41,,18.712,,47.0
6668,Te2SO7,4.11947,-1.55891,3.634,3.641,-1.21068,-1.439,2.3453,2.416,39.79,39.743,23.63,23.706,59.1757993006993,58.378
520,As2Pt,3.66681,-1.52883,0.068,0.046,-0.48214,-0.372,1.9873,1.974,135.77,142.289,86.2,89.323,213.4310672529432,221.226
3747,ZrSe3,3.8697,-1.5191,0.297,0.387,-1.1037,-1.069,1.8419,1.785,38.02,37.195,23.97,22.427,59.422260378178656,55.682
7719,YClO,4.19734,-1.51788,1.893,2.195,-2.59859,-2.748,0.7368,0.62,77.66,77.679,43.47,44.347,109.90385892566466,110.289
3518,Hg2ClO,3.85331,-1.48463,1.798,0.897,-0.28077,-0.187,0.207,0.043,25.59,154.172,9.19,-3.149,24.62248604001861,7.039
6674,InGaS3,3.91125,-1.42586,1.953,1.899,-0.62969,-0.596,0.0,0.0,,18.566,,11.277,,27.548
7600,UBrO2,3.24883,-1.33794,0.075,0.011,-2.83573,-2.992,1.9632,2.059,70.18,80.21,43.23,41.695,107.59716514954488,106.533
3675,UBr4,3.93366,-1.30432,0.176,0.128,-1.35092,-1.359,0.9294,0.675,19.46,14.431,8.83,9.217,23.009763428061298,22.454
51,P2Pt,3.54392,-1.26141,1.024,0.012,-0.68546,0.06,2.3085,1.856,172.43,60.603,121.94,36.685,296.03589912863913,90.813
4442,Hg,3.60701,-1.25944,0.149,0.493,0.2387,1.31,0.2387,-0.586,13.72,313.39,5.01,-9.064,13.39906432748538,3.776
3811,HgPS3,4.36913,-1.23863,1.679,1.711,-0.15992,-0.129,1.4541,1.455,28.96,26.677,15.59,13.792,39.65431443349273,34.378
7292,ClF,3.89451,-1.22808,2.092,5.846,-0.37725,-1.896,0.0,0.399,14.77,3.049,8.58,5.927,21.564367555303463,14.879
7282,KAuSe2,3.87863,-1.18629,0.858,0.762,-0.62449,-0.61,0.461,0.364,28.57,26.993,14.2,14.713,36.54535081573415,37.476
3740,Ge(BiTe2)2,3.27604,-0.85081,1.048,0.902,-0.14086,-0.107,0.0,-0.162,,29.057,,19.374,,45.809
7728,Mg2Al2Se5,3.19022,-0.81861,1.307,0.716,-1.11609,-0.505,1.0105,0.163,41.51,26.836,23.29,14.223,58.86152820998512,35.759
